Season,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,playerid
1991,Jack McDowell,White Sox,6.78,2.91,2.33,0.67,18.60%,8.00%,10.60%,0.225,1.16,0.264,74.10%,85,83,,3.41,3.34,0.07,,,1008473
1991,Bob Milacki,Orioles,5.28,2.59,2.04,0.83,14.30%,7.00%,7.30%,0.249,1.24,0.273,69.70%,100,93,,4.01,3.76,0.25,,,1008855
1991,Mike Moore,Athletics,6.56,4.5,1.46,0.47,17.30%,11.80%,5.40%,0.227,1.34,0.269,78.00%,76,92,,2.96,3.65,-0.69,,,1009122
1991,Jack Morris,Twins,5.95,3.36,1.77,0.66,15.80%,8.90%,6.90%,0.242,1.29,0.276,72.50%,80,91,,3.43,3.66,-0.23,,,1009211
1991,Jaime Navarro,Brewers,4.38,2.81,1.56,0.69,11.40%,7.30%,4.10%,0.257,1.32,0.277,68.40%,98,98,,3.92,3.89,0.03,,,1009465
1991,Bob Ojeda,Dodgers,5.7,3.33,1.71,0.71,15.00%,8.70%,6.20%,0.248,1.33,0.279,75.50%,89,103,,3.18,3.77,-0.59,,,1009756
1991,Omar Olivares,Cardinals,4.89,3.28,1.49,0.7,13.20%,8.90%,4.40%,0.238,1.25,0.261,72.50%,102,106,,3.71,3.96,-0.25,,,1009771
1991,Mark Portugal,Astros,6.42,3.15,2.03,1.02,16.90%,8.30%,8.60%,0.251,1.32,0.282,67.40%,126,112,,4.49,3.98,0.51,,,1010460
1991,Nolan Ryan,Rangers,10.56,3.75,2.82,0.62,29.70%,10.50%,19.20%,0.168,1.01,0.23,74.60%,72,69,,2.91,2.75,0.17,,,1011348
1991,Bret Saberhagen,Royals,6.23,2.06,3.02,0.55,17.20%,5.70%,11.50%,0.224,1.07,0.261,70.70%,75,80,,3.07,3.09,-0.02,,,1011355
1991,Scott Sanderson,Yankees,5.63,1.25,4.48,0.95,15.50%,3.50%,12.10%,0.248,1.1,0.273,68.10%,93,84,,3.81,3.44,0.37,,,1011422
1991,John Smiley,Pirates,5.59,1.91,2.93,0.74,15.40%,5.30%,10.20%,0.246,1.15,0.275,75.10%,85,91,,3.08,3.36,-0.28,,,1012084
1991,Bryn Smith,Cardinals,4.26,2.04,2.09,0.72,11.50%,5.50%,6.00%,0.245,1.17,0.262,66.60%,106,100,,3.85,3.74,0.11,,,1012104
1991,Zane Smith,Pirates,4.74,1.14,4.14,0.59,13.10%,3.20%,9.90%,0.264,1.15,0.292,69.70%,89,83,,3.2,3.07,0.13,,,1012218
1991,Dave Stewart,Athletics,5.73,4.18,1.37,0.96,14.20%,10.40%,3.90%,0.272,1.55,0.302,68.80%,133,113,,5.18,4.48,0.7,,,1012519
1991,Frank Tanana,Tigers,4.43,3.23,1.37,1.08,11.60%,8.50%,3.20%,0.258,1.36,0.27,76.40%,91,108,,3.77,4.53,-0.76,,,1012818
1991,Kevin Tapani,Twins,4.98,1.48,3.38,0.85,13.90%,4.10%,9.80%,0.241,1.09,0.261,77.90%,70,87,,2.99,3.49,-0.5,,,1012824
1991,Walt Terrell,Tigers,3.29,3.25,1.01,0.66,8.40%,8.30%,0.10%,0.294,1.54,0.31,70.70%,102,100,,4.24,4.19,0.05,,,1012924
1991,Bob Tewksbury,Cardinals,3.53,1.79,1.97,0.61,9.40%,4.80%,4.60%,0.273,1.28,0.289,70.60%,89,97,,3.25,3.63,-0.38,,,1012941
1991,Randy Tomlin,Pirates,5.35,2.78,1.93,0.46,14.10%,7.30%,6.80%,0.251,1.28,0.286,71.30%,83,91,,2.98,3.36,-0.38,,,1013111
1991,Frank Viola,Mets,5.14,2.1,2.44,0.97,13.50%,5.50%,8.00%,0.28,1.35,0.305,72.40%,110,103,,3.97,3.83,0.14,,,1013435
1991,Bill Wegman,Brewers,4.14,1.86,2.23,0.74,11.30%,5.10%,6.20%,0.238,1.12,0.253,73.30%,71,94,,2.84,3.74,-0.9,,,1013727
1991,Bob Welch,Athletics,4.13,3.72,1.11,1.02,10.60%,9.60%,1.10%,0.259,1.41,0.27,69.00%,117,121,,4.58,4.81,-0.22,,,1013750
1991,Trevor Wilson,Giants,6.19,3.43,1.81,0.58,16.50%,9.20%,7.40%,0.228,1.24,0.264,71.00%,100,95,,3.56,3.53,0.03,,,1014109
1992,Kevin Appier,Royals,6.48,2.94,2.21,0.43,17.60%,8.00%,9.60%,0.214,1.13,0.252,79.80%,61,78,,2.46,2.98,-0.51,,,3
